1,Wed. October 3 vs Montreal,Sat. October 6 vs Ottawa,Sat. October 20 vs St. Louis
2,Wed. October 3 vs Montreal,,
3,Sat. October 27 vs Winnipeg,Mon. October 29 vs Calgary,
4,Thurs. October 18 vs Pittsburgh,Wed. October 3 vs Montreal,Sat. October 27 vs Winnipeg
5,Mon. October 15 vs Los Angeles,Thurs. October 18 vs Pittsburgh,Sat. October 27 vs Winnipeg
6,Thurs. October 18 vs Pittsburgh,Sat. October 20 vs St. Louis,Mon. October 15 vs Los Angeles
7,Sat. October 6 vs Ottawa,Sat. October 27 vs Winnipeg,Wed. October 3 vs Montreal
8,Wed. October 3 vs Montreal,Thurs. October 18 vs Pittsburgh,
9,Wed. October 3 vs Montreal,Sat. October 27 vs Winnipeg,Thurs. October 18 vs Pittsburgh
10,Wed. October 3 vs Montreal,Sat. October 27 vs Winnipeg,
11,Sat. October 6 vs Ottawa,Sat. October 27 vs Winnipeg,Sat. October 20 vs St. Louis
12,Sat. October 27 vs Winnipeg,Sat. October 20 vs St. Louis,Mon. October 29 vs Calgary
13,Sat. October 20 vs St. Louis,Sat. October 27 vs Winnipeg,Thurs. November 1 vs Dallas
14,Thurs. October 18 vs Pittsburgh,Wed. October 3 vs Montreal,Mon. October 15 vs Los Angeles
15,Wed. October 3 vs Montreal,Sat. October 6 vs Ottawa,Mon. October 29 vs Calgary
16,Thurs. November 1 vs Dallas,Sat. October 27 vs Winnipeg,
17,Thurs. November 1 vs Dallas,,
18,Sat. October 27 vs Winnipeg,Mon. October 29 vs Calgary,
19,Sat. October 20 vs St. Louis,Sat. October 27 vs Winnipeg,Mon. October 15 vs Los Angeles
20,Mon. October 15 vs Los Angeles,Sat. October 27 vs Winnipeg,
21,Sat. October 20 vs St. Louis,Thurs. October 18 vs Pittsburgh,Mon. October 15 vs Los Angeles
22,Wed. October 3 vs Montreal,Sat. October 20 vs St. Louis,Sat. October 27 vs Winnipeg
23,Thurs. November 1 vs Dallas,Thurs. October 18 vs Pittsburgh,Sat. October 27 vs Winnipeg
24,Wed. October 3 vs Montreal,Thurs. October 18 vs Pittsburgh,Mon. October 29 vs Calgary
25,Sat. October 20 vs St. Louis,,
26,Sat. October 6 vs Ottawa,Sat. October 20 vs St. Louis,Thurs. November 1 vs Dallas
27,Sat. October 27 vs Winnipeg,Wed. October 3 vs Montreal,Thurs. October 18 vs Pittsburgh
28,Wed. October 3 vs Montreal,Mon. October 15 vs Los Angeles,Mon. October 29 vs Calgary
29,Wed. October 3 vs Montreal,Sat. October 27 vs Winnipeg,Sat. October 20 vs St. Louis
30,Sat. October 20 vs St. Louis,Sat. October 27 vs Winnipeg,
31,Sat. October 6 vs Ottawa,Sat. October 27 vs Winnipeg,Sat. October 20 vs St. Louis
32,Wed. October 3 vs Montreal,Thurs. October 18 vs Pittsburgh,Sat. October 27 vs Winnipeg
